id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,Ind,sigma_m,discount.1,model,precision,timeout,mean_G
3d64a8a64a,4.79,5175.94,10019.8,0.0362879,  Preset timeout reached,101,101,101,0.99,2017-10-18 10:25:26,95,0.05,0.99,logistic,1e-18,10000,0.047664209070455
3e64a8a64a,4.74,9959.47,10000.6,1.8177,  Preset timeout reached,101,101,101,0.99,2017-10-18 10:32:51,96,0.05,0.99,logistic,1e-18,10000,0.112408680816132
3a2d07a972,4.84,11873.85,11874,2357.92,  Preset timeout reached,101,101,101,0.99,2017-10-18 11:01:14,84,0.05,0.99,logistic,1e-18,10000,0.2
3964a8a64a,4.86,10752.02,10752.1,12.3851,  Preset timeout reached,101,101,101,0.99,2017-10-18 11:05:28,91,0.05,0.99,logistic,1e-18,10000,0.15002909118825
3b64a8a64a,4.87,7848.73,10016.2,0.0315616,  Preset timeout reached,101,101,101,0.99,2017-10-18 11:24:57,93,0.05,0.99,logistic,1e-18,10000,0.0851018605375696
3764a8a64a,4.83,5672.53,8517.25,-0.000938079,  target precision reached,101,101,101,0.99,2017-10-18 12:01:13,89,0.05,0.99,logistic,1e-18,10000,0.2
3a64a8a64a,4.93,3765.57,3984.91,-0.000120578,  target precision reached,101,101,101,0.99,2017-10-18 12:16:52,92,0.05,0.99,logistic,1e-18,10000,0.181609488077851
382d6320a2,4.67,13728.3,13728.4,3791.66,  Preset timeout reached,101,101,101,0.99,2017-10-18 12:46:21,98,0.05,0.99,logistic,1e-18,10000,0.2
3c64a8a64a,4.52,4410.42,10002.2,0.0311727,  Preset timeout reached,101,101,101,0.99,2017-10-18 12:48:12,94,0.05,0.99,logistic,1e-18,10000,0.0364407655896164
3d2d6320a2,4.41,3022.62,10025,0.0136511,  Preset timeout reached,101,101,101,0.99,2017-10-18 13:20:49,103,0.05,0.99,logistic,1e-18,10000,0.0196813549219063
3e2d6320a2,4.64,5659.6,10013.1,0.0293544,  Preset timeout reached,101,101,101,0.99,2017-10-18 13:29:05,104,0.05,0.99,logistic,1e-18,10000,0.0538387358827744
392d6320a2,4.69,3559.82,10161.9,0.0806335,  Preset timeout reached,101,101,101,0.99,2017-10-18 14:03:13,99,0.05,0.99,logistic,1e-18,10000,0.2
3b2d6320a2,4.69,7762.12,10007.6,0.049789,  Preset timeout reached,101,101,101,0.99,2017-10-18 14:21:22,101,0.05,0.99,logistic,1e-18,10000,0.0774705142379299
372d6320a2,4.81,8297.21,10012.3,0.604164,  Preset timeout reached,101,101,101,0.99,2017-10-18 14:56:40,97,0.05,0.99,logistic,1e-18,10000,0.2
3871f7f1c3,4.44,2964.33,10002.8,0.00935576,  Preset timeout reached,101,101,101,0.99,2017-10-18 15:41:14,106,0.05,0.99,logistic,1e-18,10000,0.0194995419849207
3c2d6320a2,4.72,5534.51,10014.7,0.0271729,  Preset timeout reached,101,101,101,0.99,2017-10-18 15:44:56,102,0.05,0.99,logistic,1e-18,10000,0.0514385837542873
3a2d6320a2,4.51,13004.6,13004.8,3288.15,  Preset timeout reached,101,101,101,0.99,2017-10-18 16:02:19,100,0.05,0.99,logistic,1e-18,10000,0.2
3d71f7f1c3,4.52,2768.64,10006.1,0.0103595,  Preset timeout reached,101,101,101,0.99,2017-10-18 16:15:45,111,0.05,0.99,logistic,1e-18,10000,0.0183242859650097
3e71f7f1c3,4.34,3326.93,10022,0.00862159,  Preset timeout reached,101,101,101,0.99,2017-10-18 16:24:44,112,0.05,0.99,logistic,1e-18,10000,0.0232466369102238
3971f7f1c3,4.52,5919.3,10006.3,0.0203602,  Preset timeout reached,101,101,101,0.99,2017-10-18 16:59:31,107,0.05,0.99,logistic,1e-18,10000,0.0545907832168379
3b71f7f1c3,4.34,2672.3,10014.9,0.00821412,  Preset timeout reached,101,101,101,0.99,2017-10-18 17:16:23,109,0.05,0.99,logistic,1e-18,10000,0.0167790524213435
3771f7f1c3,4.62,4548.36,10001.3,0.0100146,  Preset timeout reached,101,101,101,0.99,2017-10-18 17:52:57,105,0.05,0.99,logistic,1e-18,10000,0.039975548392114
3c71f7f1c3,4.56,4310.98,10012.6,0.0100851,  Preset timeout reached,101,101,101,0.99,2017-10-18 18:40:52,110,0.05,0.99,logistic,1e-18,10000,0.0362733408349935
3bdc9917e,4.76,4626.95,4662.37,-8.29539e-08,  target precision reached,101,101,101,0.99,2017-10-18 18:43:41,117,0.05,0.99,logistic,1e-18,10000,0.0517673656030837
3a71f7f1c3,4.49,2893.26,10009.4,0.00423894,  Preset timeout reached,101,101,101,0.99,2017-10-18 18:57:29,108,0.05,0.99,logistic,1e-18,10000,0.0190515077500677
3ddc9917e,4.35,2287.03,10010.1,0.00549955,  Preset timeout reached,101,101,101,0.99,2017-10-18 19:10:21,119,0.05,0.99,logistic,1e-18,10000,0.0118810970702963
3edc9917e,4.75,9497.56,10000.1,0.280536,  Preset timeout reached,101,101,101,0.99,2017-10-18 19:20:49,120,0.05,0.99,logistic,1e-18,10000,0.109715018357878
38dc9917e,4.72,14426.93,14427.1,3768.37,  Preset timeout reached,101,101,101,0.99,2017-10-18 19:50:50,114,0.05,0.99,logistic,1e-18,10000,0.2
37dc9917e,4.34,2040.04,10027.7,0.00234479,  Preset timeout reached,101,101,101,0.99,2017-10-18 20:47:43,113,0.05,0.99,logistic,1e-18,10000,0.0100366357996441
39dc9917e,4.91,14389.95,14390.1,3653.58,  Preset timeout reached,101,101,101,0.99,2017-10-18 21:08:29,115,0.05,0.99,logistic,1e-18,10000,0.2
3cdc9917e,4.39,2210.13,10002.2,0.00416759,  Preset timeout reached,101,101,101,0.99,2017-10-18 21:35:03,118,0.05,0.99,logistic,1e-18,10000,0.0108197414999778
3b41323669,4.6,3282.54,10000.8,0.0147153,  Preset timeout reached,101,101,101,0.99,2017-10-18 21:39:07,125,0.05,0.99,logistic,1e-18,10000,0.0229972663862884
3d41323669,4.76,9198.28,10000.1,0.148215,  Preset timeout reached,101,101,101,0.99,2017-10-18 22:06:05,127,0.05,0.99,logistic,1e-18,10000,0.113227314735013
3e41323669,4.76,10491.42,10491.5,16.0064,  Preset timeout reached,101,101,101,0.99,2017-10-18 22:24:55,128,0.05,0.99,logistic,1e-18,10000,0.123941309112456
3adc9917e,4.79,12517.4,12517.5,2132.54,  Preset timeout reached,101,101,101,0.99,2017-10-18 22:35:10,116,0.05,0.99,logistic,1e-18,10000,0.168006392082744
3841323669,4.44,3251.83,10002,0.0170184,  Preset timeout reached,101,101,101,0.99,2017-10-18 22:46:25,122,0.05,0.99,logistic,1e-18,10000,0.0229305132421022
3741323669,4.86,10926.34,10926.5,3.09439,  Preset timeout reached,101,101,101,0.99,2017-10-18 23:59:17,121,0.05,0.99,logistic,1e-18,10000,0.153728927731466
3941323669,4.48,2771.83,10007.1,0.0131489,  Preset timeout reached,101,101,101,0.99,2017-10-19 00:03:39,123,0.05,0.99,logistic,1e-18,10000,0.0173954740051342
3c41323669,4.55,2763.14,10010.3,0.0117372,  Preset timeout reached,101,101,101,0.99,2017-10-19 00:30:26,126,0.05,0.99,logistic,1e-18,10000,0.0184776741634159
3b4ea096db,4.68,8632.88,10001.7,0.0891204,  Preset timeout reached,101,101,101,0.99,2017-10-19 00:34:51,133,0.05,0.99,logistic,1e-18,10000,0.103578150786539
3e4ea096db,4.51,4418.45,10006.2,0.0315711,  Preset timeout reached,101,101,101,0.99,2017-10-19 01:20:59,136,0.05,0.99,logistic,1e-18,10000,0.0374323250568425
3a41323669,4.58,3822.71,10008.1,0.0154367,  Preset timeout reached,101,101,101,0.99,2017-10-19 01:30:52,124,0.05,0.99,logistic,1e-18,10000,0.0284139319981644
384ea096db,4.7,6228.38,10000.5,0.0186778,  Preset timeout reached,101,101,101,0.99,2017-10-19 01:42:24,130,0.05,0.99,logistic,1e-18,10000,0.0633651618713244
3d4ea096db,4.84,13259.59,13259.7,3075.17,  Preset timeout reached,101,101,101,0.99,2017-10-19 01:56:08,135,0.05,0.99,logistic,1e-18,10000,0.183575733829249
374ea096db,4.55,3653.58,10009,0.0238837,  Preset timeout reached,101,101,101,0.99,2017-10-19 02:55:24,129,0.05,0.99,logistic,1e-18,10000,0.0290400039946697
